artist,title,palette,clusters,clustering,filename,hash,url
Kirchner,"""Woman with a Child and a Cat (Mädchen mit Kind)""","#3A3F43,#704F37,#6F6759,#A78D65",4,AgglomerativeClustering,woman_with_a_child_and_a_cat_(madchen_mit_kind)_2012.92.689.jpg,5C5820BFF710022F626D,https://www.nga.gov/collection/art-object-page.154346.html
Kirchner,"""Cover of the Fourth Yearbook of the Artist Group the Brucke""","#E16C5B,#DCD4C6",2,AgglomerativeClustering,cover_of_the_fourth_yearbook_of_the_artist_group_the_brucke_1943.3.5182.jpg,6D408B03C6A6D0F077E8, https://www.nga.gov/content/ngaweb/collection/art-object-page.8104.html
Kirchner,"""Dance Hall Bellevue [obverse]""","#695A46,#3C78BC,#D46F1F,#79AEA2,#C4AA6F",5,AgglomerativeClustering,dance_hall_bellevue__obverse__1989.60.1.a.jpg,C66D29E1B33759F51589, https://www.nga.gov/content/ngaweb/collection/art-object-page.71238.html
Kirchner,"""Chestnut Trees in Moonlight""","#5C3C34,#6F5954,#887F75,#A69679",4,AgglomerativeClustering,chestnut_trees_in_moonlight_2012.92.134.png,EEE5B19E75814D9844C8,https://www.nga.gov/content/ngaweb/collection/art-object-page.152784.html
Kirchner,"""Bern Kunsthalle: März 33: Ernst Ludwig Kirchner: Davos""","#304847,#8C3987,#03A997,#F0E6D9",4,AgglomerativeClustering,bern_kunsthalle__marz_33__ernst_ludwig_kirchner__davos_2012.92.139.jpg,2467FC6671068611C899,https://www.nga.gov/collection/art-object-page.152789.html
Kirchner,"""Dancing Couple in the Snow [reverse]""","#2F4667,#855852,#587884,#7C9AA4,#BC9A95,#CDC0B8",6,AgglomerativeClustering,dancing_couple_in_the_snow__reverse__1989.60.1.b.png,23305C6E642DDBD9ED65,https://www.nga.gov/content/ngaweb/collection/art-object-page.163768.html
Kirchner,"""Smoking Peasant""","#75393E,#5D5A6B,#AB5950,#CBA27D",4,AgglomerativeClustering,smoking_peasant_2012.92.693.jpg,EA6E74FB1744FFDBB687,https://www.nga.gov/content/ngaweb/collection/art-object-page.154350.html
Kirchner,"""The Visit - Couple and Newcomer""","#3B5C70,#A93020,#CE5D2E,#968B7C,#D5B729",5,AgglomerativeClustering,the_visit_-_couple_and_newcomer_1989.60.2.jpg,2BC9192FBB22994D4132,https://www.nga.gov/content/ngaweb/collection/art-object-page.71239.html
Kirchner,"""Nude Women with a Child in the Forest""","#596A48,#A29855,#D19685,#E7D1B6",4,AgglomerativeClustering,nude_women_with_a_child_in_the_forest_2012.92.695.jpg,1FD1CB61F98023465291,https://www.nga.gov/collection/art-object-page.154352.html
Kirchner,"""Head Waiter in Café""","#3F333C,#5F4B47,#996C46,#D67A45,#C7AE90",5,AgglomerativeClustering,head_waiter_in_cafe_2012.92.133.jpg,ABD9D55BB722998D4C4B,https://www.nga.gov/content/ngaweb/collection/art-object-page.152783.html
Miro,"""Figure and Birds""","#121E1A,#133D98,#9C000E,#A2949A,#C09918,#D2D2D3",6,AgglomerativeClustering,183379.png,42D36AA19594CF3447B2,https://www.nga.gov/collection/art-object-page.53059.html
Miro,"""Woman at the Mirror""","#2A2829,#3F596F,#B83330,#416C96,#BAAC74,#E0D2BF",6,AgglomerativeClustering,183381.png,82D3A94A72C5B4551CED,https://www.nga.gov/collection/art-object-page.136243.html
Monet,"""Argenteuil""","#403A25,#625E34,#7F7557,#9B926F,#BCC3B5",5,AgglomerativeClustering,argenteuil_1970.17.42.jpg,BB56FCF6A615A4FFB7A1,https://www.nga.gov/collection/art-object-page.52186.html
Monet,"""Banks of the Seine Vétheuil""","#4D6A46,#6E855C,#939F77,#88A09D,#A0B0A4",5,AgglomerativeClustering,banks_of_the_seine_vetheuil_1963.10.177.jpg,B65C7700C7976AF26C87,https://www.nga.gov/collection/art-object-page.46652.html
Monet,"""Woman with a Parasol - Madame Monet and Her Son""","#3F5841,#737E58,#7D95A3,#B0BFC9",4,AgglomerativeClustering,woman_with_a_parasol_-_madame_monet_and_her_son_1983.1.29.jpg,65E174136E81847CD4F5,https://www.nga.gov/collection/art-object-page.61379.html
Splatoon,Callie vs Marie,"#AF16AC,#71DA0C",50,None,None,3CD53B4457309FFAC424,https://splatoonwiki.org/wiki/Ink
Splatoon,Grape vs Turquoise,"#5F0FB4,#08B672,#D9C100",50,None,None,7B90C78F3CF56241914D,https://splatoonwiki.org/wiki/Ink
Splatoon,Teal vs Purple vs Orange,"#1BA974,#98039B,#C75304,#C70864",50,None,None,94B71076BE575B655A95,https://splatoonwiki.org/wiki/Ink
Warhol,"""Portraits of the Artists""","#191E1C,#4D3417,#0F544C,#796C74,#A17A1F,#3C926B,#BDB1AB,#F2F2F2",8,AgglomerativeClustering,183384.png,3E4AFEBE26CAEA805E71,https://www.nga.gov/collection/art-object-page.136329.html
Warhol,"""Flowers""","#2A3219,#A54E91,#7CA33B,#FF9293,#8BCFD0",5,AgglomerativeClustering,183385.png,BEFAE7B5CAB79B9C7492,https://www.nga.gov/collection/art-object-page.144934.html
