"Pink vs Green", #C83D79, #409D3B, #2BDCED
"Pink vs Turquoise", #C93457, #048188, #890B5D
"Pink vs Orange", #DA3781, #ED9408, #A577FF
"Orange vs Blue", #CF581B, #141494, #FFFF00
"Green vs Purple", #799516, #6E068A, #118991
"Turquoise vs Orange", #20837D, #DF641A, #AD7710
"LightBlue vs Orange", #228CFF, #E85407, #EFF66E
"LightBlue vs Yellow", #007EDC, #E1A307, #D01D79
"Blue vs Orange", #2E0CB5, #F86300, #FDFF00
"Blue vs Lime", #26229F, #91B00B, #FF7F19
"Yellow vs Lilac", #DD9016, #4D24A3, #A1E896
"Green vs Magenta",#79B726, #A52B85, #ECC50A
"Lumigreen vs Purple", #60AB43, #891A7F, #FFB500
"LumiGreen vs Blue", #8CE47F, #3D59DE, #FFA427
"Soda vs Purple", #65B799, #9736B2, #8ED11E
"Green vs Orange", #319471, #BF3E24, #B986ED
"DarkBlue vs Yellow", #0D195E, #B97E1A, #FF5937
"Orange vs Fuchsia", #FF6C00, #6C0676, #FFE500
"NightMarigold vs Fucshia", #D88602, #5C0A61, #05E7CE
"Marigold vs Fucshia", #EEAA05, #8C0C7F, #17774F
"Yellow vs DFuchsia", #FBD704, #8C0C7F, #1BC3D8
"Green vs DFuchsia", #8EBB1A, #8C0C7F, #FFE500
"BrightGreen vs DFuchsia", #6ABF0B, #8C0C7F, #FFE500
"LumiGreen vs DFuchsia", #2D9314, #8C0C7F, #005BFF
"NightLumiGreen vs DFuchsia", #09950B, #8C0C7F, #005BFF
"MothGreen vs DFuchsia", #425113, #8C0C7F, #FFE500
"Soda vs DFuchsia", #8EDBB8, #8C0C7F, #FFE500
"Turquoise vs DFuchsia", #0DA182, #8C0C7F, #FFE500
"Lilac vs DFuchsia", #525CF5, #8C0C7F, #FFE500
"DarkBlue vs DFuchsia", #0D37C3, #941A88, #6BFF00
"DarkYellow vs DFuchsia", #FBD704, #8C0C7F, #1BC3D8
"DarkBlue vs Orange", #2E0CB5, #F86300, #FDFF00
"DarkFuchsia vs Yellow", #A5267F, #FFE500
"Cats vs Dogs", #D84011, #41A782
"Rollercoaster vs WaterSlide", #3BC335, #B400FF
"Marshmallow vs HotDog", #CE334F, #008006, #FFE80A
"NorthPole vs SouthPole", #801AB3, #03C1CD, #E6B30D
"LemonTea vs MilkTea", #E59D0D, #E1D6B6
"Autobots vs Decepticons", #EC0B68, #461362
"Messy vs Tidy", #ED7004, #0037B8
"Pirates vs Ninjas", #4F9E00, #7D26B5
"Naughty vs Nice", #CF3350, #008040
"Past vs Future", #009A82, #A34C3B
"Barbarian vs Ninja", #C54D4F, #003B89
"PerfectBody vs PerfectBrain", #32A200, #F9891B
"PokeRed vs PokeBlue", #BF586B, #003DA2
"PokeRed vs PokeGreen", #BF586B, #009A6E
"Snowmen vs SandCastle", #0EB6A7, #FAB01D
"Hoverboard vs Jetpack", #59BE9C, #E75A2D
"AllOut vs Healing", #BC326D, #C0AE26
"Spongebob vs Patrick", #DCA41D, #E95F9A
"TunaMayo vs RedSalmon", #38C8D0, #E56F87
"WorldTour vs SpaceAdventure", #88AF45, #014BD0
"Callie vs Marie", #AF16AC, #71DA0C

